id,original_name,normalized_name
e5a8f1f0-6dd7-4bac-9458-ea364ef1ff4b,None,none
9cbda272-1df8-4a99-a602-f62231d55d4b,None,none
37e955d0-5092-4703-b2e6-84dc427a62a2,None,none
7f0cb7d6-5891-47d9-b545-e332267cd901,None,none
f8dff17e-e4e1-406e-965c-22121306c3c7,None,none
c95d4ba8-7285-413f-882b-7370b38a1630,None,none
931e7b56-ffb3-47cf-802b-872b9b0c6d46,None,none
4f39926f-898f-43cd-9c01-c08e12425384,None,none
b289d56f-4616-456d-aa2a-bd18d90cb5f8,None,none
31e1327d-d142-484b-a9d7-e89f05581e7a,None,none
2322990a-cec1-4815-96a0-5d5ec9a81913,None,none
af4a44a2-9b9b-4651-8c3a-d445240319d9,None,none
6d442796-6888-4dd5-ac78-e82f56208bfb,None,none
db1888b0-7b99-4ea4-8fde-0f471261d5d2,None,none
42ca11fb-4a77-4e81-8351-9812e43e859e,None,none
18c3fd78-1e67-4537-b552-21326e916c45,None,none
3400e5c4-6856-42b2-afa4-227a4005ea4e,None,none
5d34a34c-4cc2-4730-8757-33fbb0e2a6e2,None,none
943be377-b64c-4698-97d5-b249112348af,None,none
1f9033e2-9374-4ec3-b0ef-3ff18192b8e9,None,none
ee1374b5-b485-4e9e-af40-8e96b8f39d97,None,none
5ef6477d-f5cb-49b0-b34f-9a94a1b3b0aa,None,none
6b8f9641-19af-47f6-adb3-4609c3c379c6,None,none
855faff2-6708-4756-8083-ea3b9a100576,None,none
60665ad2-f8b3-4e73-af51-75d6acf2028b,None,none
5a94ac01-ad42-4e7e-862f-109c1dee7d5b,None,none
2ef0f2f7-3492-45f1-a6d4-5b828132e3a4,None,none
f059a83c-45dc-4460-b5ff-f62205d3739c,None,none
410eea1c-62dd-4301-a181-772dd14b940e,None,none
af1ff4f1-8852-409c-8fb2-3553d62ea573,None,none
61c60846-26c8-497b-98da-872903e09c74,None,none
7733a76f-2971-4e04-9fa1-185bb563f611,None,none
b77ddd74-cc59-46c7-8cf5-676fad69c90b,None,none
3324e494-65a3-4ec0-84ef-198cadbb5b55,None,none
db10f71e-5d05-41e4-9953-0e6480dd52cf,None,none
f5e0653a-a42d-419b-a2a6-bb8d46db94aa,None,none
1d140620-4459-4588-a63d-4a04fb7987f0,None,none
ee30acb8-7c5a-45c3-9f15-c30b39b6fc15,None,none
26023fa6-3eee-4a6f-b514-56bafc48d130,None,none
2410241d-32a7-49b7-82be-1c15498dcfb1,None,none
e252edb1-a4dd-4088-87cc-b68558bf507d,None,none
c21716f9-ed56-46fb-bb03-a841d3c88800,None,none
d8e51171-c841-4227-9752-5ca63b055637,None,none
87fe05ef-c451-4784-a0fe-1c6e34077a4c,None,none
2a8989a1-bf03-4a53-b6f0-2ca4d0d20256,None,none
1fd22fdd-4f15-44b8-ab22-1416cf1387a4,None,none
c50ecaf8-3dc9-4e99-b4b0-1f44321c747e,None,none
c386ed8e-8e1c-4231-958d-bd1a1d7dd1cd,None,none
be78f9cb-119b-4c7c-96ee-36184106efb6,None,none
22dc6da1-e553-421a-bd52-84881f11f80e,None,none
2bbc90a8-08e4-4aaa-a176-6dc91caee630,None,none
52980323-6eb9-457f-9d02-f5e75d0ef22c,None,none
23e08cee-1cda-420e-b43f-b020060220b9,None,none
1ed32e91-7e81-4f2b-bb55-6dc13a8125b3,None,none
fa7d6e96-84a6-4612-8bcb-a46cd5cf419c,None,none
c4c2454b-513a-4fb9-8598-550d2c554266,None,none
4a3ac7d4-52e4-43ca-85b2-691d4c550e62,None,none
fb0dba96-2f01-4f91-9c60-724470a7f872,None,none
dd44cdad-c2fd-492f-82c3-665f4348be08,None,none
26f9f6d0-1434-42c8-93b7-f340c6a4f925,None,none
9d37ba75-ba14-41bf-b64a-1fc6c72a1c67,None,none
f174c874-cd79-4c02-9a1b-037b97a61474,None,none
b43b7fa6-e05c-4370-b06f-7ba5003a6e79,None,none
33c11004-e61b-442d-9a5a-2ebe78e1c6ef,None,none
64dd3dc7-1ca7-4f05-bde0-c2a77df423f8,None,none
627264f9-52f2-42c4-8737-dc98df2bf53f,None,none
0305123a-ea55-4740-ba04-8cf2c628e01c,None,none
158874f1-0d84-4eac-9d78-2ee57f89048f,None,none
f2f407f5-b3c3-47cc-8498-9d05e392a724,None,none
df331595-e8c4-4cd9-a257-1490891e7544,None,none
3a3d7afd-5584-436a-9286-dc03da1bf630,None,none
638dfcd3-7fab-45e3-9939-e215347a1b4f,None,none
aebdb1ce-052f-4535-8587-aa8caaa9326e,None,none
cf6f7138-94bb-4071-b15a-03a5036250a0,None,none
86f99f79-b950-4b19-ab54-ccc526fefbcf,None,none
707f8a33-2ab8-4ba3-9965-32d93d0d1756,None,none
bc8d888e-82d0-4fb6-9fd0-838b9fd665d1,None,none
90c2e833-ffef-46e6-bb02-dbc8213cd3ed,None,none
9aa8077e-451a-4b56-b38a-3b8d74305927,None,none
80273242-9577-469c-afac-a5abc44c93d7,None,none
96c8a255-5be6-4248-8ca8-8476e32329ac,None,none
8a0e7f5c-0b74-4ffa-82fa-8b31b5dcc440,None,none
4f964200-ecd2-4061-9000-bafe34566dc7,None,none
d15714d7-7457-4b7a-9756-2e1977fd9b3a,None,none
